病気,びょうき,illness; sickness,"会L9, 会L12(e)"
表情,ひょうじょう,expression,読L23-II
昼,ひる,noon,読L9-II
昼ご飯,ひるごはん,lunch,会L3
昼寝をする,ひるねをする,to take a nap ,会L21
広い,ひろい,wide; spacious,会L12
拾う,ひろう,to pick up (something),会L22
,ピンク,pink,会L9(e)
貧乏,びんぼう（な）,poor,会L22
,ファイル,(file) folder; portfolio; file,会L16
,ファッション,fashion,読L15-II
不安,ふあん（な）,anxious; worried,"読L13-II, 会L18"
,フィリピン,Philippines,会L1
,ブーツ,boots,会L17
,プール,swimming pool,会L15
部下,ぶか,subordinate,会L22
服,ふく,clothes,会L12
復習,ふくしゅう,review of a lesson,会L22
袋,ふくろ,bag; sack; plastic/paper bag,"会L8(e), 会L23"
不思議,ふしぎ（な）,mysterious,会L20
二つ,ふたつ,two,会L9
二つ目,ふたつめ,second,会L6(e)
豚肉,ぶたにく,pork,会L8(e)
二人,ふたり,two people,会L7
二人ずつ,ふたりずつ,two people each,会L11(e)
部長,ぶちょう,department manager,会L19
普通,ふつう,local (train),会L10(e)
二日,ふつか,the second day of a month,会L4(e)
二日,ふつか,two days,会L13
物価,ぶっか,consumer prices,会L13
二日間,ふつかかん,for two days,読L22-II
二日酔い,ふつかよい,hangover,会L12
,ぶどう,grape,会L8(e)
太っています,ふとっています,to be on the heavy side,会L7
太る,ふとる,to gain weight; overweight,会L7
船,ふね,ship; boat,会L10
不便,ふべん（な）,inconvenient,読L21-II
踏む,ふむ,to step on,会L21
冬,ふゆ,winter,会L8
振込,ふりこみ,bank transfer,会L13(e)
,プリン,pudding,読L13-III
,ふる,to turn down (somebody); to reject; to jilt,会L21
降る（雨/雪が）,ふる（あめ/ゆきが）,(rain/snow) falls,会L8
古い,ふるい,old (thing),会L5
,プレゼント,present,会L12
風呂,ふろ,bath,会L8
,ブロー,blow-dry,会L17(e)
,プロジェクト,project,会L22
風呂に入る,ふろにはいる,to take a bath,会L8
,プロポーズする,to propose marriage ,会L14
,フロント,receptionist; front desk,会L15(e)
文化,ぶんか,culture,"読L11-II, 会L16"
文学,ぶんがく,literature,"会L1, 読L7-II"
文法,ぶんぽう,grammar,"会L11(e), 会L13"
分野,ぶんや,field; realm,読L17-II
平日,へいじつ,weekday,読L11-II
平和,へいわ,peace,読L15-II
平和記念資料館,へいわきねんしりょうかん,Peace Memorial Museum,読L15-II
,ページ,page,会L6
,ベージュ,beige,会L9(e)
下手,へた（な）,clumsy; poor at . . .,会L8
,ペット,pet,会L15
,ヘッドホン,headphones,会L20
別に,べつに ＋ negative,nothing in particular,会L7
部屋,へや,room,会L5
,ぺらぺら（な）,fluent,会L22
,ペン,pen,会L2
変,へん（な）,strange; unusual,会L21
勉強する,べんきょうする,to study ,会L3
弁護士,べんごし,lawyer,"会L1, 会L13"
返事,へんじ,reply,"読L11-II, 会L16"
弁当,べんとう,boxed lunch,会L9
便秘,べんぴ,constipation,会L12(e)
返品する,へんぴんする,to return (merchandise) ,会L20
便利,べんり（な）,convenient,会L7
方言,ほうげん,dialect,会L11(e)
帽子,ぼうし,hat; cap,会L2
放っておく,ほ（う）っておく,to leave (someone/something) alone; to neglect,会L22
～方面,～ほうめん,serving . . . areas,会L10(e)
,ホーム,platform,"会L10(e), 読L22-II"
,ホームシック,homesickness,会L12
,ホームステイ,homestay; living with a local family,会L8
,ボール,ball,会L22
,ほかに,anything else,会L11(e)
他の,ほかの,other,会L16
僕,ぼく,I (used by men),会L5
,ポケット,pocket,読L16-II
保険,ほけん,insurance,会L15
保険証,ほけんしょう,health insurance certificate,会L12(e)
保険に入る,ほけんにはいる,to buy insurance,会L15
欲しい,ほしい,to want,会L14
募集,ぼしゅう,recruitment,会L13
～募集,～ぼしゅう,looking for . . .,読L11-II
,ポスター,poster,会L21
,ホストファミリー,host family,"読L9-II, 会L11"
,ポップコーン,popcorn,会L18
,ホテル,hotel,会L4
,ほめる,to praise; to say nice things ,会L21
,ホラー,horror,読L11-II
,ボランティア,volunteer,"読L11-II, 会L15"
,ホワイトデー,“White Day” (yet another gift-giving day),会L14
本,ほん,book,"会L2, 会L2(e)"
～本,～ほん,[counter for long objects],"会L14, 会L14(e)"
盆踊り,ぼんおどり,Bon dance (Japanese traditional dance),会L23
本当ですか,ほんとうですか,Really?,会L6
本当に,ほんとうに,really,"読L14-II, 会L18"
本当は,ほんとうは,in fact; originally,会L19
本屋,ほんや,bookstore,会L4
翻訳する,ほんやくする,to translate ,会L22
,まあまあ,okay; so-so,会L11
～枚,～まい,[counter for flat objects],"会L5, 会L14(e)"
毎朝,まいあさ,every morning,会L19
毎週,まいしゅう,every week,会L8
毎月,まいつき,every month,読L18-III
毎日,まいにち,every day,会L3
毎晩,まいばん,every night,会L3
参る,まいる,extra-modest expression for いく and くる,会L20
前,まえ,before . . .,会L17
前,まえ,front,会L4
曲がる,まがる,to turn (right/left),"会L6(e), 会L20"
負ける,まける,to lose (a match) ,会L22
誠に,まことに,really (very polite),会L20
,まじめ（な）,serious; sober; diligent,"読L12-II, 会L19"
,まず,first of all,"読L8-II, 会L18"
,まずい,(food is) terrible,会L23
,また,again,会L20
,また,in addition,読L16-II
,まだ,still,会L19
,まだ ＋ negative,not . . . yet,会L8
待たせる,またせる,to keep (someone) waiting ,会L20
町,まち,town; city,会L4
待ち合わせをする,まちあわせをする,to meet up ,読L15-II
間違い,まちがい,mistake,会L19
間違える,まちがえる,to make a mistake ,会L21
待ち遠しい,まちどおしい,to wait eagerly for . . .,読L22-II
待つ,まつ,to wait,会L4
,まっすぐ,straight,"会L6(e), 読L6-I"
祭り,まつり,festival,会L11
,～まで,to (a place/a time),会L9
,～までに,by (time/date),"読L12-II, 会L18"
窓,まど,window,"会L2(e), 会L6"
間に合う,まにあう,to be in time,会L22
,マフラー,winter scarf,会L14
眉毛,まゆげ,eyebrow,会L7(e)
,まる,○ (correct),会L11(e)
漫画,まんが,comic book,会L14
漫画家,まんがか,cartoonist,会L11
,まんじゅう,sweet bun,読L4-III
,マンション,larger apartment building; condominium,会L13
見える,みえる,to be visible ,会L15
磨く,みがく,to brush (teeth); to polish,会L13
味方,みかた,person on one’s side,読L16-II
,みかん,mandarin orange,"会L8(e), 会L14"
右,みぎ,right,会L4
右側,みぎがわ,right side,会L6(e)
短い,みじかい,short (length),会L7
水,みず,water,会L3
水色,みずいろ,light blue,会L9(e)
湖,みずうみ,lake,会L11
水着,みずぎ,swimwear,読L13-III
店,みせ,shop; store,"読L4-III, 会L13"
見せる,みせる,to show ,会L16
,～みたいなX,X like . . . ,会L20
道,みち,way; road; directions,会L16
道に迷う,みちにまよう,to become lost; to lose one’s way,会L16
三日,みっか,the third day of a month,会L4(e)
三日,みっか,three days,会L13
見つかる,みつかる,to be found,会L16
見つける,みつける,to find ,会L21
三つ,みっつ,three,会L9
三つ目,みっつめ,third,会L6(e)
緑,みどり,green,"会L9(e), 読L15-II"
みな様,みなさま,everyone (polite expression of みなさん),読L19-II
皆さん,みなさん,everyone; all of you,"読L6-III, 会L14"
南,みなみ,south,"会L6(e), 読L15-II"
身ぶり,みぶり,gesture,読L20-II
～未満,～みまん,less than . . .,読L18-II
耳,みみ,ear,会L7(e)
土産,みやげ,souvenir,会L5
未来,みらい,future,読L16-II
見る,みる,to see; to look at; to watch ,会L3
,みんな,all,"読L7-II, 会L9"
,みんなで,all (of the people) together,会L8
六日,むいか,six days,会L13
六日,むいか,the sixth day of a month,会L4(e)
迎えに行く,むかえにいく,to go to pick up,会L16
迎えに来る,むかえにくる,to come to pick up ,会L16
昔,むかし,old days; past,会L21
昔々,むかしむかし,once upon a time,読L10-II
向こう,むこう,the other side; over there,読L12-II
虫,むし,insect,会L18
虫歯,むしば,bad tooth,会L12(e)
虫めがね,むしめがね,magnifying glass,読L17-II
難しい,むずかしい,difficult,会L5
娘,むすめ,daughter,読L12-II
無駄遣い,むだづかい,waste (money),会L22
六つ,むっつ,six,会L9
胸,むね,breast,会L7(e)
紫,むらさき,purple,会L9(e)
無理,むり（な）,impossible,会L18
目,め,eye,"会L7, 会L7(e)"
～目,～め,=-th,会L15
～名,～めい,. . . person(s),会L15(e)
～名様,～めいさま,party of . . . people,会L19
迷信,めいしん,superstition,読L21-II
,メール,e-mail,会L9
眼鏡,めがね,glasses,会L7
,メキシコ,Mexico,読L5-II
召し上がる,めしあがる,honorific expression for たべる and のむ,会L19
,めずらしい,rare,読L13-II
,めちゃくちゃ（な）,messy; disorganized,会L21
,メッセージ,message; text,"読L22-II, 会L23"
,めったに～ない,seldom,読L21-II
,メニュー,menu,会L2
,めまいがする,to feel dizzy,会L12(e)
免許,めんきょ,license,会L22
面接,めんせつ,interview,会L23
,もう,already,会L9
もう一度,もういちど,one more time,会L15
申し込み,もうしこみ,application,読L19-III
申し訳ありません,もうしわけありません,You have my apologies.,"読L19-III, 会L20"
申す,もうす,extra-modest expression for いう,会L20
,もうすぐ,very soon; in a few moments/days,会L12
もう少し,もうすこし,a little more,会L22
,もう～ない,not any longer,読L13-II
目的,もくてき,object; purpose,読L18-II
木曜日,もくようび,Thursday,"会L4, 会L4(e)"
文字,もじ,letter; character,読L17-II
,もし～たら,if . . .,読L19-III
,もしもし,Hello? (used on the phone),会L4
,もち,rice cake,読L10-II
,もちろん,of course,会L7
持つ,もつ,to carry; to hold,会L6
持っていく,もっていく,to take (a thing),会L8
持ってくる,もってくる,to bring (a thing) ,会L6
,もっと,more,会L11
,もてる,to be popular (in terms of romantic interest) ,会L19
戻ってくる,もどってくる,(something/someone) comes back ,会L23
戻る,もどる,to return; to come/go back,"読L16-II, 会L20"
物,もの,thing (concrete object),会L12
,ものすごく,extremely,会L23
,もも,peach,会L8(e)
,もらう,to get (from somebody),会L9
文句,もんく,complaint,会L21
文句を言う,もんくをいう,to complain,会L21
～屋,～や,. . . shop,会L20
野球,やきゅう,baseball,会L10
焼く,やく,to bake; to burn; to grill,会L21
訳す,やくす,to translate,会L16
約束,やくそく,promise; appointment,会L13
約束を守る,やくそくをまもる,to keep a promise,会L13
,やけどをする,to burn oneself,会L12(e)
野菜,やさい,vegetable,会L2
,やさしい,easy (problem); kind (person),会L5
安い,やすい,inexpensive; cheap (thing),会L5
休み,やすみ,holiday; day off; absence,会L5
休む,やすむ,to be absent (from); to rest,会L6
,やせています,to be thin,会L7
,やせる,to lose weight ,会L7
家賃,やちん,rent,会L18
,やった！,I did it!,読L20-II
八つ,やっつ,eight,会L9
,やっぱり,after all,"読L13-II, 会L17"
山,やま,mountain,"読L5-II, 会L11"
山道,やまみち,mountain road,読L10-II
,やめる,to quit ,会L11
,やる,to do; to perform,会L5
,やる,"to give (to pets, plants, younger siblings, etc.)",会L21
湯,ゆ,hot water,会L17
夕方,ゆうがた,evening,会L18
勇気,ゆうき,courage,読L22-II
優勝する,ゆうしょうする,to win a championship ,会L23
夕食,ゆうしょく,dinner,会L23
友人,ゆうじん,friend,読L19-III
郵便局,ゆうびんきょく,post office,会L2
有名,ゆうめい（な）,famous,会L8
有名人,ゆうめいじん,celebrity,会L10
雪,ゆき,snow,"読L10-II, 会L8"
,ゆっくり,slowly; leisurely; unhurriedly,会L6
指,ゆび,finger,会L7(e)
指輪,ゆびわ,ring,会L14
夢,ゆめ,dream,会L11
八日,ようか,eight days,会L13
八日,ようか,the eighth day of a month,会L4(e)
,ようこそ,Welcome.,会L19
用事,ようじ,business to take care of,会L12
洋服,ようふく,clothes,読L18-II
,ヨーロッパ,Europe,会L22
,よかったら,if you like,会L7
預金,よきん,savings,会L13(e)
,よく,often; much,会L3
,よく,well,会L14
横,よこ,side; horizontal,読L23-II
汚す,よごす,to make dirty,会L18
汚れる,よごれる,to become dirty ,会L18
四時,よじ,four o’clock,会L1(e)
予習,よしゅう,preparation of a lesson,会L22
四日,よっか,four days,会L13
四日,よっか,the fourth day of a month,会L4(e)
四つ,よっつ,four,会L9
予定,よてい,schedule; plan,会L15
呼ぶ,よぶ,to call (one’s name); to invite,会L19
読む,よむ,to read,会L3
予約,よやく,reservation,会L10
予約する,よやくする,to reserve ,会L15
夜,よる,night,"読L5-II, 会L6"
寄る,よる,to stop by,会L19
,よろしかったら,if it is okay (polite),会L20
よろしくお伝えください,よろしくおつたえください,Please give my best regards (to . . . ).,会L19
よろしくお願いします,よろしくおねがいします,Nice to meet you.,会G
弱い,よわい,weak,読L16-II
四分,よんぷん,four minutes,会L1(e)
来学期,らいがっき,next semester,会L11
来月,らいげつ,next month,"会L4(e), 会L8"
来週,らいしゅう,next week,"会L4(e), 会L6"
来年,らいねん,next year,"会L4(e), 会L6"
楽,らく（な）,easy; comfortable,会L22
落語,らくご,comic monologue,読L20-II
落語家,らくごか,comic storyteller,読L20-II
,ラジオ,radio,会L14
離婚する,りこんする,to get a divorce ,会L17
理想,りそう,ideal,会L23
留学する,りゅうがくする,to study abroad ,会L11
留学生,りゅうがくせい,international student,会L1
両,りょう,a unit of currency used in the Edo period,読L20-II
寮,りょう,dormitory,"読L9-II, 会L17"
両替,りょうがえ,money exchange,会L13(e)
両親,りょうしん,parents,会L14
料理,りょうり,cooking; dish,"読L6-III, 会L10"
料理する,りょうりする,to cook ,会L8
旅館,りょかん,Japanese inn,会L15
旅行,りょこう,travel,会L5
旅行会社,りょこうがいしゃ,travel agency,会L17
旅行する,りょこうする,to travel ,会L10
履歴書,りれきしょ,résumé,会L14
,りんご,apple,"会L8(e), 会L10"
,ルームメイト,roommate,会L11
留守,るす,absence; not at home,会L21
留守番,るすばん,looking after a house during someone’s absence,会L23
例,れい,example,会L11(e)
冷蔵庫,れいぞうこ,refrigerator,会L18
歴史,れきし,history,"会L1, 会L2"
,レストラン,restaurant,会L4
,レポート,(term) paper,会L4
練習,れんしゅう,exercise,会L11(e)
練習する,れんしゅうする,to practice ,会L10
,レントゲン,X-ray,会L12(e)
連絡する,れんらくする,to contact ,会L21
,ろうそく,candle,会L18
六月,ろくがつ,June,会L4(e)
六時,ろくじ,six o’clock,会L1(e)
六分,ろっぷん,six minutes,会L1(e)
,ロボット,robot,読L16-II
,ワイン,wine,読L6-III
若い,わかい,young,会L9
若者,わかもの,young people,読L15-II
,わかる,to understand,会L4
別れる,わかれる,to break up; to separate ,会L12
忘れる,わすれる,to forget; to leave behind ,会L6
私,わたくし,I (formal),会L13
私,わたし,I,会L1
私たち,わたしたち,we,"読L12-II, 会L14"
渡す,わたす,to give; to hand,読L20-II
渡る,わたる,to cross,"会L6(e), 読L15-II"
笑う,わらう,to laugh,会L16
割引券,わりびきけん,discount coupon,会L15
悪い,わるい,bad,会L12
悪口を言う,わるぐちをいう,to talk behind someone’s back,会L23
,ワンルームマンション,studio apartment,読L18-III
