,おっしゃる,honorific expression for いう,会L19
お手洗い,おてあらい,restroom,会L12
お寺,おてら,temple,会L4
音,おと,sound,会L20
お父さん,おとうさん,father,"会L1, 会L2"
弟,おとうと,younger brother,"会L1, 会L7"
男の人,おとこのひと,man,"読L5-II, 会L7"
落とされる,おとされる,to be dropped,読L15-II
落とす,おとす,to drop (something),会L18
,おととい,the day before yesterday,"会L4(e), 会L19"
,おととし,the year before last,会L4(e)
大人,おとな,adult,"読L12-II, 会L13"
踊る,おどる,to dance,会L9
,おなか,stomach,"会L7(e), 会L12"
,おなかがすく,to become hungry,会L11
,おなかをこわす,to have a stomachache,会L23
同じ,おなじ,same,会L12
お兄さん,おにいさん,older brother,"会L1, 会L7"
,おにぎり,rice ball,会L20
お姉さん,おねえさん,older sister,"会L1, 会L7"
,おねがいします（～を）,". . . , please.",会L2
お願いする,おねがいする,to request help ,会L22
,おばあさん,grandmother; old woman,会L7
,おばさん,aunt; middle-aged woman,会L14
,おはよう,Good morning.,会G
,おはようございます,Good morning. (polite),会G
お引き出し,おひきだし,withdrawal,会L13(e)
お振込,おふりこみ,bank transfer,会L13(e)
お風呂,おふろ,bath,会L8
お風呂に入る,おふろにはいる,to take a bath,会L8
お返事,おへんじ,reply,読L11-II
お弁当,おべんとう,boxed lunch,会L9
覚える,おぼえる,to memorize ,会L9
お祭り,おまつり,festival,会L11
お守り,おまもり,charm (against evils); amulet,読L21-II
,おまんじゅう,sweet bun,読L4-III
お土産,おみやげ,souvenir,会L5
,おめでとうございます,Congratulations!,会L17
重い,おもい,heavy; serious (illness),会L20
思い出す,おもいだす,to recall,読L19-II
思い出,おもいで,memory,会L23
思う,おもう,to think,会L8
面白い,おもしろい,interesting; funny,会L5
,おもち,rice cake,読L10-II
,おもちゃ,toy,会L11
主に,おもに,mainly,読L17-II
親,おや,parent,会L16
,おやすみ（なさい）,Good night.,会G
お休みになる,おやすみになる,honorific expression for ねる,会L19
お湯,おゆ,hot water,会L17
お湯が沸く,おゆがわく,water boils,会L18
お湯を沸かす,おゆをわかす,to boil water,会L17
泳ぐ,およぐ,to swim,会L5
降りる,おりる,to get off ,会L6
,おる,extra-modest expression for いる,会L20
お礼,おれい,expression of gratitude,会L19
,オレンジ,orange,会L9(e)
下ろす,おろす,to withdraw (money),会L15
終わる,おわる,(something) ends,会L9
音楽,おんがく,music,会L3
温泉,おんせん,spa; hot spring,会L11
女の人,おんなのひと,woman,"読L5-II, 会L7"
蚊,か,mosquito,会L21
,～か～,or,会L10
,～が,". . . , but","読L5-II, 会L7"
,カーテン,curtain,"会L2(e), 会L18"
～回,～かい,. . . times,会L13
～階,～かい,. . . th floor,会L20
海外旅行,かいがいりょこう,trip to a foreign country,会L23
会議,かいぎ,business meeting; conference,会L21
外国,がいこく,foreign country,会L11
外国語,がいこくご,foreign language,会L13
外国人,がいこくじん,foreigner,会L15
改札,かいさつ,gate,会L10(e)
会社,かいしゃ,company,会L7
会社員,かいしゃいん,office worker,"会L1, 会L8"
階段,かいだん,stairs,"会L10(e), 会L23"
買い物,かいもの,shopping,会L4
買う,かう,to buy,会L4
飼う,かう,to own (a pet),会L11
返す,かえす,to return (a thing),会L6
帰る,かえる,to go back; to return,会L3
顔,かお,face,"会L7(e), 会L10"
顔が青い,かおがあおい,to look pale,会L9(e)
顔文字,かおもじ,emoticon,読L23-II
～顔をする,～かおをする,to look . . . (facial expression) ,会L23
係の者,かかりのもの,our person in charge,会L20
,かかる,to take (amount of time/money),会L10
鍵,かぎ,lock; key,会L17
鍵をかける,かぎをかける,to lock ,会L17
書く,かく,to write,会L4
描く,かく,to draw; to paint,会L15
家具,かぐ,furniture,会L15
学生,がくせい,student,会L1
学割,がくわり,student discount,会L10(e)
～か月,～かげつ,for . . . months,会L10
,かける,to sit down ,会L19
,かける（アイロンを）,to iron (clothes) ,会L16
かける（鍵を）,かける（かぎを）,to lock ,会L17
,かける（パーマを）,to have one’s hair permed ,会L17(e)
かける（眼鏡を）,かける（めがねを）,to put on (glasses) ,会L7
,かさ,bamboo hat,読L10-II
傘,かさ,umbrella,会L2
菓子,かし,snack; sweets,会L11
火事,かじ,fire,会L17
家事,かじ,housework,会L22
,かしこまりました,Certainly.,会L20
歌手,かしゅ,singer,会L11
貸す,かす,to lend,会L16
風,かぜ,wind,会L22
風邪,かぜ,cold,会L12
風が吹く,かぜがふく,the wind blows,会L22
風邪をひく,かぜをひく,to catch a cold,会L12
数える,かぞえる,to count ,読L17-II
家族,かぞく,family,会L7
,ガソリン,gasoline,会L21
肩,かた,shoulder,会L7(e)
かたい言い方,かたいいいかた,bookish expression,会L11(e)
片付ける,かたづける,to tidy up ,会L18
片道,かたみち,one way,会L10(e)
勝つ,かつ,to win,会L22
,がっかりする,to be disappointed ,"読L20-II, 会L23"
楽器,がっき,musical instrument,会L13
,かっこ,parenthesis,会L11(e)
,かっこいい,good-looking,会L5
学校,がっこう,school,会L3
,カット,cut,会L17(e)
活動,かつどう,activity,会L15
家庭教師,かていきょうし,tutor,読L18-III
角,かど,corner,"会L6(e), 会L20"
,～かな（あ）,I wonder . . . (casual),会L17
,かなう,to be realized,読L12-II
悲しい,かなしい,sad,"読L10-II, 会L13"
,カナダ,Canada,会L1
金,かね,money,会L6
金持ち,かねもち,rich person,会L10
彼女,かのじょ,she; girlfriend,会L12
,かばん,bag,会L2
,カフェ,cafe,会L3
歌舞伎,かぶき,Kabuki; traditional Japanese theatrical art,会L9
,かぶせる,to put (a hat) on a person’s head ,読L10-II
,かぶる,to put on (a hat),会L7
花粉症,かふんしょう,hay fever,会L12(e)
我慢する,がまんする,to be tolerant/patient ,会L23
髪,かみ,hair,"会L7, 会L7(e)"
紙,かみ,paper,会L17
髪形,かみがた,hairstyle,会L17(e)
神様,かみさま,God,"読L12-II, 会L22"
髪をとかす,かみをとかす,to comb one’s hair,会L17
,かめ,turtle,読L13-II
,カメラ,camera,会L8
通う,かよう,to commute to,読L21-II
火曜日,かようび,Tuesday,"会L4, 会L4(e)"
,～から,from . . .,"読L7-II, 会L9"
,カラー,hair coloring,会L17(e)
辛い,からい,hot and spicy; salty,会L13
,カラオケ,karaoke,会L8
体,からだ,body,会L13
体に気をつける,からだにきをつける,to take care of oneself ,読L7-II
空手,からて,karate,会L13
借りる,かりる,to borrow ,会L6
刈る,かる,to crop,会L17(e)
軽い,かるい,light,会L20
彼,かれ,he; boyfriend,会L12
,カレー,curry,会L13
彼氏,かれし,boyfriend,会L12
川,かわ,river,会L11
,かわいい,cute,会L7
,かわいそう（な）,pitiful; feel sorry for; poor thing,"読L12-II, 会L23"
代わりに,かわりに,instead,読L22-II
眼科,がんか,ophthalmologist,会L12(e)
考える,かんがえる,to think (about); to consider ,会L18
環境,かんきょう,environment,会L21
観光する,かんこうする,to do sightseeing ,会L15
韓国,かんこく,Korea,"会L1, 会L2"
看護師,かんごし,nurse,"会L1, 会L11"
漢字,かんじ,kanji; Chinese character,会L6
感情,かんじょう,feeling; emotion,読L23-II
完成する,かんせいする,to be completed ,読L17-II
簡単,かんたん（な）,easy; simple,会L10
感動する,かんどうする,to be moved/touched (by . . . ) ,会L13
,カンニングする,to cheat in an exam ,会L23
乾杯,かんぱい,Cheers! (a toast),会L8
頑張る,がんばる,to do one’s best; to try hard,会L13
木,き,tree,会L22
黄色い,きいろい,yellow,会L9(e)
消える,きえる,(something) goes off ,会L18
気温,きおん,temperature (weather),会L8
着替える,きがえる,to change clothes ,会L21
気が付く,きがつく,to notice,会L21
聞く,きく,to ask,会L5
聞く,きく,to listen; to hear,会L3
記号,きごう,symbol,読L23-II
聞こえる,きこえる,to be audible ,会L20
,キスをする,to kiss ,読L23-II
季節,きせつ,season,会L10
北,きた,north,会L6(e)
,ギター,guitar,会L9
汚い,きたない,dirty,会L16
喫煙,きつえん,smoking,会L15(e)
切符,きっぷ,train ticket,会L12
切符売り場,きっぷうりば,ticket vending area,会L10(e)
気に入る,きにいる,to find something agreeable,会L23
気にする,きにする,to worry ,読L21-II
昨日,きのう,yesterday,"会L4, 会L4(e)"
厳しい,きびしい,strict,会L13
気分が悪い,きぶんがわるい,not to feel well; to feel sick,"会L12(e), 会L13"
期末試験,きまつしけん,final examination,会L16
決まる,きまる,to be decided,会L19
決める,きめる,to decide ,会L10
着物,きもの,kimono; Japanese traditional dress,"読L9-II, 会L13"
,キャッシュカード,bank card,会L13(e)
,キャベツ,cabbage,会L8(e)
,キャンプ,camp,会L11
休講,きゅうこう,class cancellation,会L23
急行,きゅうこう,express,会L10(e)
急に,きゅうに,suddenly,会L14
牛肉,ぎゅうにく,beef,会L8(e)
牛乳,ぎゅうにゅう,milk,会L10
